sentence,label,idx,ds_type
"When Mary listens to the Grateful Dead, she gets depressed.",1,158,train
Mary gets depressed if she listens to the Grateful Dead.,1,159,train
Mary gets depressed when she listens to the Grateful Dead.,1,160,train
"The more she looked at pictures, the angrier Mary got.",1,161,train
"The more pictures Mary looked at, she got angrier and angrier.",0,162,train
Mary gets depressed and she listens to the Grateful Dead.,1,163,train
"The higher the stakes are, the lower his expectations are.",1,164,train
"The higher the stakes, the lower his expectations.",1,165,train
"His expectations are lower, the higher the stakes.",1,166,train
"His expectations are lower, the higher the stakes are.",1,167,train
"His expectations lower, the higher the stakes.",0,168,train
"His expectations lower, the higher the stakes are.",0,169,train
"The more obnoxious Fred is, the less attention you should pay to him.",1,170,train
"The more obnoxious Fred, the less attention you should pay to him.",0,171,train
"The more Fred is obnoxious, the less you should pay attention to him.",1,172,train
"The more obnoxious Fred, the less you should pay attention to him.",0,173,train
His expectations are always lower than mine.,1,174,train
John was lots more obnoxious than Fred was.,1,175,train
"You should always lock your door, no matter how fancy the hotel might be.",1,176,train
"You should always lock your door, no matter how fancy the hotel.",1,177,train
"I don't plan to lock the door, no matter how fancy this hotel is.",1,178,train
"I don't plan to lock the door, no matter how fancy this hotel.",0,179,train
"I'm going out, whatever the weather.",1,180,train
"I'm going out, wherever that hurricane might be.",1,181,train
"I'm going out, wherever that hurricane.",0,182,train
The more examples Mary says that Bill has helped Fred to discover the less I believe her.,1,183,train
The more food Mary knows a man that eats the poorer she gets.,0,184,train
The fatter he goes to a doctor when he gets the more he eats.,0,185,train
"The fatter that that he gets bothers him, the more he eats.",0,186,train
"The more books I ask to whom he will give, the more he reads.",0,187,train
The more people I ask what he will give to the more he reads.,0,188,train
The more carefully he words the letter the safer he'll be.,1,189,train
The more carefully he knows a man that worded the letter the safer he'll be.,0,190,train
"The more geniuses John meets, the angrier he gets.",1,191,train
"The more John meets geniuses, the angrier he gets.",0,192,train
"The more people you say will buy tickets, the happier I'll be.",1,193,train
"The more people you say that will buy tickets, the happier I'll be.",0,194,train
"The more people you say that right after the show opens will buy tickets, the happier I'll be.",1,195,train
"The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate.",1,196,train
"The more he eats, the poorer he knows a woman that gets.",0,197,train
"The more he eats, the fatter he goes to a doctor when he gets.",0,198,train
"The more he eats, the fatter that that he gets really bothers me.",0,199,train
"The more he reads, the more books I wonder to whom he will give.",0,200,train
"The more he reads, the more people I wonder what he will give to.",0,201,train
"The sooner you call, the more carefully I know a man that will word the letter.",0,202,train
"The richer John gets, the more geniuses John meets.",1,203,train
"The richer he gets, the more John meets geniuses.",0,204,train
"The more articles he reads, the fewer people he thinks will go into linguistics.",1,205,train
"The more articles he reads, the fewer people he thinks that will go into linguistics.",0,206,train
"The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics.",1,207,train
"The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics.",1,208,train
"The more people that arrive, the louder that it gets.",1,209,train
"The more people that arrive, the louder it gets.",1,210,train
"The more people you give beer to, the more people that get sick.",1,211,train
"The more people that you give beer to, the more people that get sick.",1,212,train
"The more people arrive, the louder that it gets.",1,213,train
"The more people arrive, the louder it gets.",1,214,train
"The more people that you give beer to, the more people get sick.",1,215,train
The more pictures of John that he buys the more arrogant he becomes.,0,216,train
The more pictures of himself that John buys the more arrogant he becomes.,1,217,train
The man that arrived on the train was my brother.,1,218,train
The man arrived on the train was my brother.,0,219,train
"The more people everyone who likes pays attention to, the happier we all are.",0,220,train
"The later it gets, the more people everyone who likes pays attention to.",0,221,train
"Whenever Bill smokes, Susan hates him all the more.",1,222,train
"Whenever Bill smokes, Susan hates him much more.",1,223,train
"Whenever Bill smokes, Susan hates him far more.",1,224,train
"Whenever Bill smokes, Susan hates him a lot more.",1,225,train
"Once Janet left, Fred became all the crazier.",1,226,train
"Once Janet left, Fred became much crazier.",1,227,train
"Once Janet left, Fred became far crazier.",1,228,train
"Fred became all the crazier, the more often Janet left.",1,229,train
"When Bill smokes, all the more does Susan hate him.",1,230,train
"When Bill smokes, much more does Susan hate him.",0,231,train
"When Bill smokes, all the more Susan hates him.",0,232,train
So much did you eat that everyone gasped.,1,233,train
So fast did you run that everyone gasped.,1,234,train
So intelligent a dog did you buy that everyone gasped.,1,235,train
I know how much you ate.,1,236,train
I know how fast you ran.,1,237,train
I know how intelligent a dog you bought.,1,238,train
He ate so much that he got sick.,1,239,train
So much did he eat that he got sick.,1,240,train
"The more you eat, the more you want.",1,241,train
"You eat the more, the more you want.",0,242,train
"The more you eat, you want the more.",0,243,train
I wonder you ate how much.,0,244,train
I wonder to how many people Bill talks.,1,245,train
"The longer he has to wait, the angrier John gets.",1,246,train
"If he has to wait, John gets angry.",1,247,train
"He gets angry, the longer John has to wait.",0,248,train
He gets angry if John has to wait.,0,249,train
"The more that pictures of him appear in the news, the more embarrassed John becomes.",1,250,train
"The more pictures of himself that appear in the news, the more embarrassed John becomes.",1,251,train
"The more that pictures of himself appear in the news, the more embarrassed John becomes.",1,252,train
"The more pictures of him appear in the news, the more likely John is to get arrested.",1,253,train
"The more pictures of himself appear in the news, the more likely John is to get arrested.",0,254,train
"The more that pictures of him appear in the news, the more likely John is to get arrested.",1,255,train
"The more that pictures of himself appear in the news, the more likely John is to get arrested.",0,256,train
"The more that John gets upset by them, the more that stories about him seem to show up in the news.",1,257,train
"The more that John gets upset by them, the more that stories about himself seem to show up in the news.",0,258,train
"John is more embarrassed, the more pictures of him appear in the news.",1,259,train
"John is more embarrassed, the more pictures of him that appear in the news.",1,260,train
"John is more embarrassed, the more pictures of himself appear in the news.",1,261,train
"John is more embarrassed, the more pictures of himself that appear in the news.",1,262,train
"Stories about him seem to show up more on the evening news, the more that John gets upset by them.",1,263,train
"Stories about himself seem to show up more on the evening news, the more that John gets upset by them.",0,264,train
"If you give him enough opportunity, every senator will succumb to corruption.",1,265,train
You give him enough opportunity and every senator will succumb to corruption.,1,266,train
"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.",0,267,train
"If you give any senator enough opportunity, he will succumb to corruption.",1,268,train
You give any senator enough opportunity and he will succumb to corruption.,1,269,train
You give every senator enough opportunity and he will succumb to corruption.,0,270,train
"We gave any senator enough opportunity and, sure enough, he succumbed to corruption.",0,271,train
"We gave every senator enough opportunity and, sure enough, he succumbed to corruption.",0,272,train
"The more lobbyists he talks to, the more corrupt every senator seems to become.",1,273,train
"The more lobbyists wine and dine him, the more every senator is susceptible to corruption.",1,274,train
"The more time that every senator spends with lobbyists, the more likely he succumbs to corruption.",0,275,train
"Every senator becomes more corrupt, the more lobbyists he talks to.",1,276,train
"Any senator becomes more corrupt, the more lobbyists he talks to.",1,277,train
"He seems to become more corrupt, the more lobbyists any senator talks to.",0,278,train
"He seems to become more corrupt, the more lobbyists every senator talks to.",0,279,train
"Every senator seems to become more corrupt, if he talks to more lobbyists.",1,280,train
"Any senator seems to become more corrupt, if he talks to more lobbyists.",1,281,train
"Any senator seems to become more corrupt, as he talks to more lobbyists.",1,282,train
"He seems to become more corrupt, if any senator talks to more lobbyists.",0,283,train
"He seems to become more corrupt, if every senator talks to more lobbyists.",0,284,train
"He seems to become more corrupt, as every senator talks to more lobbyists.",0,285,train
"He seems to become more corrupt, as any senator talks to more lobbyists.",0,286,train
"The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters.",1,287,train
This is the sort of problem which the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.,1,288,train
"The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy.",1,289,train
"This problem, the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.",1,290,train
Who did you give pictures of to friends of?,1,291,train
It is this problem that the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.,1,292,train
"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.",0,293,train
"Which problem the sooner you solve, will the more easily you satisfy the folks up at corporate headquarters?",0,294,train
"Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?",0,295,train
"Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?",0,296,train
"The harder it rains, the faster who runs?",0,297,train
"The louder who talks, the angrier you get?",0,298,train
"The harder that it rains, how much faster a flow do you see in the river?",1,299,train
"They failed to tell me which problem the sooner I solve, the quicker the folks up at corporate headquarters.",1,300,train
"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of.",0,301,train
"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",0,302,train
This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.,0,303,train
This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve it.,1,304,train
This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,0,305,train
Those are the folks that you just solve this problem and you'll be able to put them on ice.,0,306,train
"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve.",0,307,train
"This is the problem that you'll beat the competition more easily, the sooner you solve.",0,308,train
John saw the man in the room.,1,309,train
Which room did John see the man in?,1,310,train
Who did John think that Bill claimed that Mary suspected that everybody liked?,1,311,train
John could not visit Sally.,1,312,train
What John could do is not visit Sally.,1,313,train
John couldn't visit Sally.,1,314,train
Why did John leave?,1,315,train
I hit the ball.,1,316,train
You hit the ball.,1,317,train
He hit the ball.,0,318,train
She hit the ball.,0,319,train
They hit the ball.,1,320,train
Am not I going?,0,321,train
I am not going.,1,322,train
Aren't I going?,1,323,train
I aren't going.,0,324,train
"Louise is unhappy, isn't she?",1,325,train
"Louise likes not being happy, doesn't she?",1,326,train
"Not many books survived the fire, did they?",1,327,train
"No books survived the fire, did they?",1,328,train
"He hasn't often paid taxes, has he?",1,329,train
"He can't pay taxes, can he?",1,330,train
She does not see him.,1,331,train
She kept not seeing him.,1,332,train
She could not have been working.,1,333,train
Marianne not left.,0,334,train
Marianne left not.,0,335,train
He could not have been working.,1,336,train
He cannot have been working.,1,337,train
He can simply not have been working.,1,338,train
You must not simply not work.,1,339,train
He may not just not have been working.,1,340,train
He can't have been working.,1,341,train
Can't he have been working?,1,342,train
Can he not have been working?,1,343,train
Can he not have been working?,0,344,train
John wrote books.,1,345,train
John write books.,0,346,train
John wrote books.,0,347,train
John did not write books.,1,348,train
John seems that is nice.,0,349,train
"`` I am so happy '', thought John.",1,350,train
down the hill rolled John.,1,351,train
John kisses often Mary.,0,352,train
John often kisses Mary.,1,353,train
Who do you think Mary said John likes?,1,354,train
Who did you ask whether Mary knows why John likes?,0,355,train
Who do you think that Mary said that John likes?,1,356,train
How do you wonder whether Mary solved the problem?,0,357,train
How do you think that Mary solved the problem?,1,358,train
How do you wonder whether John said that Mary solved the problem?,0,359,train
How do you wonder whether John said Mary solved the problem?,0,360,train
Which problem do you wonder whether John said that Mary solved?,0,361,train
How did you think that Mary solved the problem?,1,362,train
Mary hired someone.,1,363,train
I heard that Mary hired someone.,1,364,train
I resigned because Mary hired someone.,1,365,train
Mary wondered which picture of himself Bill saw?,1,366,train
Which picture of himself does Mary think that John said that Susan likes?,1,367,train
Mary thinks that John said that Susan likes pictures of himself?,0,368,train
"Mary thinks that John said that pictures of himself, Susan likes?",1,369,train
"If you don't believe me, you will the weatherman?",1,370,train
"I rolled up a newspaper, and Lynn did a magazine?",1,371,train
"Kathy likes astronomy, but she doesn't meteorology?",1,372,train
The DA proved Jones guilty and the Assistant DA will prove Smith.,1,373,train
"Mary will believe Susan, and you will Bob.",1,374,train
You might not believe me but you will Bob.,1,375,train
You will Bob believe.,0,376,train
How did you solve the problem?,1,377,train
I wonder who could solve the problem in this way.,1,378,train
How do you wonder who could solve this problem.,0,379,train
No candidate can predict how many people will vote for him.,1,380,train
Every politician is worried when the press starts attacking him.,1,381,train
Which politician appointed the journalist who supported him?,1,382,train
The fact that no candidate was elected shows that he was inadequate.,0,383,train
"John sells books, Mary buys records and Bill V newspapers.",1,384,train
The question of whether John met Mary worries the people who support.,1,385,train
They have left.,1,386,train
Have they left?,1,387,train
Could they have left?,1,388,train
He has often seen Mary.,1,389,train
He I often sees Mary.,1,390,train
He sees often Mary.,0,391,train
Sees he I often Mary?,0,392,train
It seems that it is likely that John will win.,1,393,train
It seems that John is likely to win.,1,394,train
John seems to be likely to win.,1,395,train
John seems that it is likely to win.,0,396,train
John seems will win.,0,397,train
How do you wonder which problem to solve?,0,398,train
How intelligent do you consider John?,1,399,train
How many people do you wonder whether I consider intelligent?,0,400,train
How intelligent do you wonder whether I consider John?,0,401,train
What the hell do you wonder how to say?,0,402,train
He has left.,1,403,train
His book is nice.,1,404,train
Bill saw him.,1,405,train
Bill works with him.,1,406,train
John believes him to be a nice guy.,1,407,train
John considers him a nice guy.,1,408,train
For him to do that would be a mistake.,1,409,train
"With him sick, the team is in trouble.",1,410,train
A man to be in the garden is unlikely.,0,411,train
A man to come is unlikely.,0,412,train
John to call would be unlikely.,0,413,train
This conclusion to be arrived at is surprising.,0,414,train
John believes that he is sick.,1,415,train
John believes that him is sick.,0,416,train
John tries him to win.,0,417,train
John wonders where him to go.,0,418,train
Who do you think that Bill likes?,1,419,train
Who do you think that Bill believes to be innocent?,1,420,train
Who do you think that believes John to be innocent?,0,421,train
Who would you prefer for to win the race?,0,422,train
Someone stole my car.,1,423,train
My car was stolen.,1,424,train
The children eat all chocolate.,0,425,train
John has often kissed Mary.,1,426,train
The kids have all eaten the chocolate.,1,427,train
"In general, he understands what's going on.",1,428,train
It's probable that in general he understands what's going on.,1,429,train
It's probable in general that he understands what's going on.,0,430,train
In general that he understands what's going on is surprising.,0,431,train
I explained how to fix the sink.,1,432,train
I explained how we should fix the sink.,1,433,train
I explained that we should fix the sink.,1,434,train
I explained to fix the sink.,0,435,train
Mickey looked up the reference.,1,436,train
Mickey looked the reference up.,1,437,train
Mickey looked up them.,1,438,train
Mickey teamed up with the women.,1,439,train
Mickey teamed with the women up.,0,440,train
Mickey pointed out that Gary had left.,1,441,train
Mickey pointed that Gary had left out.,0,442,train
Mickey slips up all the time.,1,443,train
Mickey slips all the time up.,0,444,train
What does John think Mary bought?,1,445,train
John thinks what Mary bought.,0,446,train
John wonders what Mary bought.,1,447,train
What does John wonder Mary bought?,0,448,train
Who is he reading a book that criticizes?,0,449,train
What do you remember where we bought?,0,450,train
Who bought what?,1,451,train
Who is reading a book that criticizes who?,1,452,train
Who remembers where we bought what?,1,453,train
I wonder who what bought?,0,454,train
I wonder what who bought?,0,455,train
There aren't many linguistics students here.,1,456,train
I haven't met many linguistics students.,1,457,train
What does every student buy?,1,458,train
I need Sally to be there.,1,459,train
The boat sank to collect the insurance.,0,460,train
The boat was sunk to collect the insurance.,1,461,train
John wants to win.,1,462,train
The bed was unmade.,1,463,train
Headway was unmade.,0,464,train
John was unknown.,1,465,train
John was unknown to be the murderer.,0,466,train
We knew John to be the murderer.,1,467,train
He fed the children.,1,468,train
The children were uneducated.,1,469,train
The children were undisciplined.,1,470,train
I believed these students all to like John.,1,471,train
They tried to all like John.,1,472,train
I believed these students to all like John.,1,473,train
Did he try ever to talk to the student?,0,474,train
Did you believe him ever to have made an effort to talk to the student?,1,475,train
Did he try to ever be attentive to the needs of students?,1,476,train
Did you believe him to ever have made an effort to talk to the student?,1,477,train
work out an analysis that is typical of this view of understood subjects.,1,478,train
They were believed all to be quite diligent.,1,479,train
Was he believed ever to fail students?,1,480,train
There is tending to be more and more discussion of these issues.,1,481,train
John seemed to be a great linguist.,1,482,train
There promises to be a storm tonight.,1,483,train
John strived to be successful.,1,484,train
John wanted to improve his lot in life.,1,485,train
John expected to win.,1,486,train
This book is too dense to be read in one sitting.,1,487,train
There is too likely to be a riot to be a serious discussion of the issues.,0,488,train
John tried.,1,489,train
John remembered.,1,490,train
John is refused.,1,491,train
John forgot.,1,492,train
"Bill seems to be obnoxious, but I don't think that Sam happens.",0,493,train
"Bill seems to be obnoxious, but I don't think that Sam turns out.",0,494,train
"Bill seems to be obnoxious, but I don't think that Sam tends.",0,495,train
They tried all to like John.,0,496,train
They seemed all to like John.,1,497,train
John believes Sally to be polite.,1,498,train
I believe John with all my heart to be a fine person.,1,499,train
John is wanted to win.,0,500,train
John would be liked to win.,0,501,train
We would like John to win.,1,502,train
John would be hated to win.,0,503,train
John would be preferred to be the candidate.,0,504,train
We would prefer John to be the candidate.,1,505,train
I would like for John to win.,1,506,train
I would hate for John to win.,1,507,train
I would prefer for John to be the candidate.,1,508,train
John destroyed the house.,1,509,train
The electrode emitted ions into the medium.,1,510,train
Ions struck the electrode.,1,511,train
The medium contains ions.,1,512,train
The house destroyed John.,0,513,train
Ions left the electrode.,1,514,train
The electrode was left by ions.,0,515,train
The electrode was struck by ions.,1,516,train
The ball lies in the box.,1,517,train
The ball rolled from the bush to the tree.,1,518,train
The box contains the ball.,1,519,train
The tree dropped fruit to the ground.,1,520,train
Fruit hit the ground from the tree.,1,521,train
The stone knocked against the pole into the road.,1,522,train
The stone knocked the pole into the road.,1,523,train
The box contained the ball.,1,524,train
The box gradually contained the ball.,0,525,train
The box at once contained the ball.,0,526,train
The box contained the ball to the ground.,0,527,train
The tree gradually dropped its fruit to the ground.,1,528,train
The tree dropped its fruit to the ground.,1,529,train
Fruit hit the roof.,1,530,train
Fruit hit the roof from the tree.,1,531,train
Fruit at once hit the roof from the tree.,1,532,train
Fruit hit the roof against the ground.,0,533,train
Fruit at once hit the roof against the ground.,0,534,train
Fruit dropped from the tree.,1,535,train
Fruit dropped from the tree from the clouds.,0,536,train
Fruit fell against the house.,0,537,train
Fruit fell against the house against the ground.,0,538,train
The tree changed into an oak.,1,539,train
The tree changed from a maple into an oak.,1,540,train
The maple changed into an oak from a cedar.,0,541,train
The maple changed into an oak from a cedar.,1,542,train
The maple changed into an oak.,1,543,train
The oak developed out of a maple.,1,544,train
The train reached the station.,1,545,train
The branches knocked against the wall.,1,546,train
The child became a man.,1,547,train
The party lasted till midnight.,1,548,train
The dog went crazy.,1,549,train
It struck John that it was so.,1,550,train
It came to John that it was so.,1,551,train
The snake saw into the nest.,1,552,train
Hard work resulted in high grades.,1,553,train
The farm passed to John.,1,554,train
John is touching the wall.,1,555,train
The wall is being touched by John.,1,556,train
A bear occupies the cave.,1,557,train
A bear inhabits the cave.,1,558,train
Water fills the tub.,1,559,train
The electric main joins the house circuit in the basement.,1,560,train
The house circuit is joined by the electric main in the basement.,1,561,train
The fence straddles the sidewalk.,1,562,train
The sidewalk is straddled by the fence.,1,563,train
The man with a book.,1,564,train
Gas escaped the tube.,1,565,train
The terrorist escaped the prison cell.,1,566,train
The prison cell was escaped by the terrorist.,1,567,train
The rolling stone avoided the river.,1,568,train
The river was avoided by the rolling stone.,1,569,train
The agents caught the terrorist.,1,570,train
The sponge soaked up the water.,1,571,train
The tub filled with water.,1,572,train
John received a book.,1,573,train
John learned a lesson.,1,574,train
The parcel reached John.,1,575,train
John received the parcel.,1,576,train
The farm finally got to John after much litigation.,1,577,train
The farm finally reached John after much litigation.,0,578,train
Water filled the cup high.,1,579,train
Water filled the cup.,1,580,train
Water emptied the cup.,0,581,train
The cup filled the water high.,0,582,train
The cup filled of water.,0,583,train
The cup filled with water.,1,584,train
The cup emptied with water.,0,585,train
the barge piled high with logs.,1,586,train
the road blocked with a stone.,0,587,train
the branch dropped bare of its apple.,0,588,train
the logs piled the barge high.,0,589,train
a stone blocked the road.,1,590,train
the bottle drained the liquid free.,0,591,train
the branch dropped its apple free.,1,592,train
Some branches broke off of the tree.,1,593,train
The tree broke off some branches.,0,594,train
The tree dropped some branches.,1,595,train
The tree lost some branches.,1,596,train
Water bubbled out of the kettle.,1,597,train
The kettle bubbled water up.,0,598,train
The kettle bubbled water.,1,599,train
The cup filled water.,0,600,train
The stone knocked the pole into the road.,0,601,train
The tub leaked empty of water.,1,602,train
The stone knocked against the pole into the road.,0,603,train
Hail stones broke the window.,1,604,train
The force of the wind broke the window.,1,605,train
The window broke from hail stones.,0,606,train
The window broke from the force of the wind.,1,607,train
What the force of the wind did to the window was break it.,1,608,train
John hit the stone against the wall.,1,609,train
John hit the wall with the stone.,1,610,train
John tapped some wine from a barrel.,1,611,train
John tapped a barrel of some wine.,1,612,train
John laid the book on the table.,1,613,train
John included his name in the list.,1,614,train
John loaded the bricks onto the truck.,1,615,train
John loaded the truck with bricks.,1,616,train
John fed rice to the baby.,1,617,train
John fed the baby rice.,1,618,train
John fed the baby up with rice.,1,619,train
John fed the baby rice up.,0,620,train
The ball lies completely in the box.,1,621,train
The box completely contains the ball.,1,622,train
The train got to the station fully.,1,623,train
The train reached the station fully.,1,624,train
Press the stamp against the pad completely.,1,625,train
Press the pad with the stamp completely.,1,626,train
