id,source,tokens,labels,nested-labels,ds_type
10,http://de.wikipedia.org/wiki/Hechtviertel [2009-12-04] ,"['Denn', 'durch', 'den', 'Einsatz', 'moderner', 'Fahrzeugtechnik', '(', 'Dieseltriebwagen', ')', 'und', 'schalldämmender', 'Fenster', 'entsteht', 'keine', 'Einschränkung', 'der', 'Wohnqualität', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
11,http://de.wikipedia.org/wiki/Liste_von_Filmen_mit_homosexuellem_Inhalt [2010-01-11] ,"['Scenes', 'of', 'a', 'Sexual', 'Nature', '(', 'GB', '2006', ')', '-', 'Regie', ':', 'Ed', 'Blum', 'Shortbus', '(', 'USA', '2006', ')', '-', 'Regie', ':', 'John', 'Cameron', 'Mitchell', ':Film', 'über', 'den', 'gleichnamigen', 'New', 'Yorker', 'Club', ',', 'der', 'verschiedensten', 'Paaren', 'eine', 'Plattform', 'zur', 'Aufarbeitung', 'ihrer', 'Probleme', 'bietet', '.']","['B-OTH', 'I-OTH', 'I-OTH', 'I-OTH', 'I-OTH', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'B-OTH', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-LOCderiv', 'I-LOCderiv', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
12,http://de.wikipedia.org/wiki/Abbildungsfehler [2010-01-16] ,"['Die', 'meisten', 'Fotoobjektive', 'werden', 'bewusst', 'mit', 'Vignettierung', 'konstruiert', ',', 'da', 'man', 'dadurch', 'einen', 'besseren', 'Kompromiss', 'zwischen', 'Lichtstärke', ',', 'Korrektion', 'der', 'Abbildungsfehler', 'und', 'Kosten', 'erreichen', 'kann', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
13,http://www.morgenweb.de/nachrichten/kultur/20070526_srv0000000810333.html [2007-05-26] ,"['Bekanntlich', 'war', 'bei', 'Ihnen', 'so', 'ziemlich', 'die', 'ganze', 'deutsche', 'Kabarett-Prominenz', 'zu', 'Gast', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCderiv', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
14,http://www.georgien-nachrichten.de/index7375.html [2011-01-02] ,"['Dies', 'erklärte', 'der', 'leitende', 'Ingenieur', 'des', 'Flugzeugwerkes', 'in', 'Tiflis', ',', 'Gocha', 'Goguadse', ',', 'der', 'Nachrichtenagentur', 'Prime', 'News', 'per', 'Telefon', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
15,http://de.wikipedia.org/wiki/Echter_Kerbel [2010-01-11] ,"['Die', 'Doldenstiele', 'und', '-strahlen', 'sind', 'dicht', 'weichflaumig', 'behaart', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
16,http://www.focus.de/sport/fussball/championsleague/champions-league-manu-will-fluch-von-porto-besiegen_aid_389970.html [2009-04-15] ,"['""', 'Es', 'wird', 'also', 'nicht', 'einfach', '""', ',', 'meint', '""', 'ManU', '""', '-Teammanager', 'Sir', 'Alex', 'Ferguson', ':', '""', 'Aber', 'wir', 'sind', 'es', 'gewohnt', ',', 'die', 'Ersten', 'zu', 'sein', 'und', 'müssen', 'gewinnen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
17,http://de.wikipedia.org/wiki/Friedrich_Knoke [2009-03-06] ,"['Nach', 'seinem', 'Wechsel', '1875', 'an', 'das', 'Karlsgymnasium', 'in', 'Bernburg', '(', 'Saale', ')', 'wurde', 'er', 'dort', 'zunächst', '1877', 'zum', 'Oberlehrer', 'und', 'zehn', 'Jahre', 'später', 'zum', 'Professor', 'ernannt', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PERpart', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
18,http://de.wikipedia.org/wiki/32._SS-Freiwilligen-Grenadier-Division_„30._Januar“ [2009-12-29] ,"['Das', 'SS-Freiwilligen-Grenadier-Regiment', '88', 'wurde', 'im', 'März', 'aus', 'einer', 'Kampfgruppe', 'der', 'SS-Führerschule', 'des', 'Wirtschafts-', 'und', 'Verwaltungsdienstes', 'und', 'Teilen', 'des', 'I./SS-Polizei-Regiments', '34', 'der', 'Ordnungspolizei', ',', 'Heeresangehörigen', 'und', 'Volkssturm', 'gebildet', '.']","['O', 'B-ORGpart', 'I-ORGpart', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGpart', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGpart', 'I-ORGpart', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
19,http://www.neuepresse.de/Ratgeber/Rund-ums-Geld/Uebersicht/Chancen-und-Risiken-mit-Franken-oder-Dollar.html [2011-01-15] ,"['Barauszahlungen', 'sind', 'grundsätzlich', 'nicht', 'möglich', '.']","['O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O']",train
20,http://de.wikipedia.org/wiki/Art_Ensemble_of_Chicago [2010-01-05] ,"['Ein', 'Projekt', ',', 'dessen', 'Anlass', 'die', 'Zusammenarbeit', 'mit', 'einem', 'jamaikanischen', 'Obstsaft-Produzenten', 'für', 'Werbezwecke', 'war', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCderiv', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
21,sueddeutsche.de vom 09.06.2006 [2006-06-09] ,"['Besser', 'so', ',', 'die', 'Konkurrenz', 'ist', 'vernichtend', 'schön', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
22,http://www.rga-online.de/xray/index.php?red=2&artikel=108296505&rubrik=xray [2007-01-29] ,"['Bei', 'Pickeln', 'reicht', 'ein', 'Klecks', 'Zahncreme', 'zum', 'Austrocknen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
23,http://de.wikipedia.org/wiki/Maschinengenauigkeit [2009-07-10] ,"['Für', 'den', 'dabei', 'auftretenden', 'relativen', 'Rundungsfehler', 'gilt', ':', 'Dabei', 'wird', 'ε', 'als', 'Maschinengenauigkeit', 'bezeichnet', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
24,http://www.20min.ch/news/kreuz_und_quer/story/13857419.html [2010-12-18] ,"['Selbst', 'dann', 'könnte', 'er', 'aber', 'bald', 'sein', 'Studium', 'in', 'Neuenburg', 'weiterführen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
25,http://www.stuttgarter-zeitung.de/stz/page/2121301_0_2096_-millionengschaeft-mit-junge-talenten-im-visier-der-spaeher.html [2009-07-10] ,"['Auch', 'Ronaldo', 'lässt', 'sich', 'nicht', 'mehr', 'sehen', '.']","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
26,http://de.wikipedia.org/wiki/Diamantene_Schallplatte [2009-12-07] ,"['Meist', 'führen', 'die', 'Verbände', 'ein', 'Verzeichnis', 'der', 'zertifizierten', 'Preisträger', ',', 'das', 'auf', 'ihren', 'Internetseiten', 'einsehbar', 'ist', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
27,http://de.wikipedia.org/wiki/Heathen_Chemistry [2009-06-14] ,"['Jedoch', 'fielen', 'die', 'Kritiken', 'eher', 'durchwachsen', 'aus', ',', 'wenn', 'gleich', 'Heathen', 'Chemistry', 'freundlicher', 'von', 'der', 'Presse', 'aufgenommen', 'wurde', 'als', 'die', 'beiden', 'vorigen', 'Alben', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OTH', 'I-OTH', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
28,http://de.wikipedia.org/wiki/Clemens_Klitsch [2009-03-22] ,"['Im', 'Herbst', '1945', 'erfolgte', 'seine', 'Berufung', 'an', 'die', 'Universität', 'Jena', 'zum', 'ordentlichen', 'Professor', 'auf', 'den', 'Lehrstuhl', 'für', 'Acker-', 'und', 'Pflanzenbau', 'und', 'die', 'Ernennung', 'zum', 'Direktor', 'des', 'Instituts', 'für', 'Pflanzenbau', 'und', 'Pflanzenzucht', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
29,http://de.wikipedia.org/wiki/Rheinland [2010-01-14] ,"['Die', 'deutschen', 'Staaten', ',', 'die', 'nach', 'dem', 'Wiener', 'Kongress', 'ihre', 'Territorien', 'auf', 'das', 'linke', 'Rheinufer', 'ausweiteten', ',', 'respektierten', 'die', 'von', 'Frankreich', 'errichtete', 'Rechtsordnung', 'weitgehend', '.']","['O', 'B-LOCderiv', 'O', 'O', 'O', 'O', 'O', 'B-OTH', 'I-OTH', 'O', 'O', 'O', 'O', 'O', 'B-LOCpart', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
30,http://www.oe-journal.at/Aktuelles/0202/wirtarchiv19022502.htm [2011-01-17] ,"['Der', 'Aktienkurs', 'blieb', 'am', 'Vormittag', 'mit', '63,15', 'Euro', 'nahezu', 'konstant', '(', '52-Wochen-Hoch', ':', '64,05', 'Euro', ';', '52-Wochen-Tief', ':', '49,95', 'Euro', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OTH', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OTH', 'O', 'O', 'O', 'O', 'B-OTH', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
31,http://www.br-online.de/kinder/spielen-werkeln/freizeit/2009/02618/index.html [2010-12-24] ,"['Er', 'stibitzt', 'Hühner', 'und', 'Apfelsaft', 'von', 'den', 'Bauern', 'und', 'schon', 'bald', 'machen', 'diese', 'drei', 'grimmigen', 'Kerle', 'Jagd', 'auf', 'den', 'Fuchs', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
32,http://www.haz.de/Nachrichten/Meinung/Uebersicht/Beschaemend.html [2011-01-07] ,"['Es', 'geht', 'darum', ',', 'die', 'Bauten', 'zu', 'schützen', ',', 'die', 'beispielhaft', 'für', 'ihre', 'Bauzeit', 'sind', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
33,"http://www.fuldaerzeitung.de/sport/fuldaregion/art22050,919310 [2009-08-07] ","['Allerdings', 'hat', 'Ehrenberg', 'den', 'Sieg', 'teuer', 'bezahlen', 'müssen', '.']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
34,morgenweb.de vom 23.09.2006 [2006-09-23] ,"['""', 'Es', 'herrscht', 'weiter', 'Explosionsgefahr', '""', ',', 'sagte', 'ein', 'Polizeisprecher', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
35,http://de.wikipedia.org/wiki/Geocoin [2010-01-16] ,"['Vorderseite', 'einer', 'Personal', 'Geocoin', 'Rückseite', 'derselben', 'Die', 'ersten', 'Geocoins', 'überhaupt', 'wurden', 'von', 'dem', 'Geocacher', 'Moun10Bike', 'in', 'Umlauf', 'gebracht', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
36,http://www.haz.de/Nachrichten/Sport/Uebersicht/Rekord-ueber-100-Meter-nur-eine-Momentaufnahme.html [2011-01-07] ,"['Gerade', 'nach', 'dem', 'ersten', 'aufsehenerregenden', '100-Meter-Lauf', 'bei', 'den', 'Olympischen', 'Spielen', 'in', 'Peking', '2008', 'spekulierten', 'viele', 'über', 'nicht', 'nachweisbare', 'Mittel', ',', 'die', 'die', 'Ermüdung', 'der', 'Muskulatur', 'herauszögern', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
37,http://de.wikipedia.org/wiki/Walde_Huth [2009-11-01] ,"['Werk', 'Im', 'Sommer', '1945', 'fotografierte', 'sie', 'im', 'Auftrag', 'der', 'Alliierten', 'serienmäßig', 'die', 'Einwohner', 'ihrer', 'Heimat', '(', 'so', 'genannte', 'Kennkarten-Aktion', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OTH', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
38,http://de.wikipedia.org/wiki/Wiener_Werkstätte [2010-01-16] ,"['Als', '„', 'Jahrhundertgenie', 'des', 'Ornaments', '“', '(', 'Moser', ')', 'stachelte', 'er', 'nicht', 'nur', 'den', 'Unmut', 'des', 'Kritikers', 'Loos', 'an', ',', 'sondern', 'trug', 'auch', 'zum', 'Niedergang', 'der', 'Wiener', 'Werkstätte', 'bei', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCderiv', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
39,http://www.szbz.de/no_cache/nachrichten-neuigkeiten/artikel-detail/news/Haustiere%20suchen%20ein%20neues%20Heim%20-%2010.1.2008.html?tx_ttnews%5BbackPid%5D=316&cHash=7da425e5a7 [2008-01-10] ,"['Deshalb', 'ist', 'Freigang', 'für', 'den', 'aktiven', 'Kater', 'sehr', 'wichtig', 'und', 'unbedingt', 'notwendig', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
40,http://de.wikipedia.org/wiki/Christian_von_Hofe [2009-09-30] ,"['Christian', 'von', 'Hofe', ',', 'der', '1881', 'Alma', ',', 'geborene', 'Dau', ',', 'ehelichte', ',', 'verstarb', 'am', '16.', 'Juni', '1954', 'im', 'Alter', 'von', '83', 'Jahren', 'in', 'Frankfurt', 'am', 'Main', '.']","['B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']",train
41,http://de.wikipedia.org/wiki/Hochseefischerei [2009-10-25] ,"['Ausbildung', 'In', 'der', 'Bundesrepublik', 'Deutschland', 'können', 'die', 'Befähigungszeugnisse', '„', 'Kapitän', 'BK', '“', '(', 'Kleine', 'Hochseefischerei', ')', 'und', '„', 'Kapitän', 'BG', '“', '(', 'Große', 'Hochseefischerei', ')', 'im', 'Rahmen', 'einer', 'bundeseinheitlichen', 'Regelung', 'erworben', 'werden', '.']","['O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",train
42,archiv.tagesspiegel.de vom 12.11.2005 [2005-11-12] ,"['Zumindest', 'als', 'Neuland', 'für', 'Berlin', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O']",train
